2024-08-04 09:50:16,717 INFO    StreamThr :8104 [internal.py:wandb_internal():85] W&B internal server running at pid: 8104, started at: 2024-08-04 09:50:16.701319
2024-08-04 09:50:16,717 DEBUG   HandlerThread:8104 [handler.py:handle_request():158] handle_request: status
2024-08-04 09:50:16,726 INFO    WriterThread:8104 [datastore.py:open_for_write():87] open: D:\Dev\AI Projects\Skip-Gram-Implementation\wandb\run-20240804_095016-aow9ack6\run-aow9ack6.wandb
2024-08-04 09:50:16,727 DEBUG   SenderThread:8104 [sender.py:send():379] send: header
2024-08-04 09:50:16,796 DEBUG   SenderThread:8104 [sender.py:send():379] send: run
2024-08-04 09:50:17,339 DEBUG   HandlerThread:8104 [handler.py:handle_request():158] handle_request: check_version
2024-08-04 09:50:17,339 INFO    SenderThread:8104 [dir_watcher.py:__init__():211] watching files in: D:\Dev\AI Projects\Skip-Gram-Implementation\wandb\run-20240804_095016-aow9ack6\files
2024-08-04 09:50:17,339 INFO    SenderThread:8104 [sender.py:_start_run_threads():1188] run started: aow9ack6 with start time 1722761416.717692
2024-08-04 09:50:17,339 DEBUG   SenderThread:8104 [sender.py:send_request():406] send_request: check_version
2024-08-04 09:50:17,503 DEBUG   HandlerThread:8104 [handler.py:handle_request():158] handle_request: run_start
2024-08-04 09:50:17,519 DEBUG   HandlerThread:8104 [system_info.py:__init__():26] System info init
2024-08-04 09:50:17,519 DEBUG   HandlerThread:8104 [system_info.py:__init__():41] System info init done
2024-08-04 09:50:17,519 INFO    HandlerThread:8104 [system_monitor.py:start():194] Starting system monitor
2024-08-04 09:50:17,519 INFO    SystemMonitor:8104 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-04 09:50:17,519 INFO    HandlerThread:8104 [system_monitor.py:probe():214] Collecting system info
2024-08-04 09:50:17,519 INFO    SystemMonitor:8104 [interfaces.py:start():188] Started cpu monitoring
2024-08-04 09:50:17,534 DEBUG   HandlerThread:8104 [system_info.py:probe():152] Probing system
2024-08-04 09:50:17,534 INFO    SystemMonitor:8104 [interfaces.py:start():188] Started disk monitoring
2024-08-04 09:50:17,534 INFO    SystemMonitor:8104 [interfaces.py:start():188] Started memory monitoring
2024-08-04 09:50:17,550 INFO    SystemMonitor:8104 [interfaces.py:start():188] Started network monitoring
